lon,lat,jiaodu
121.2,52.77,315
121.4733,52.9233,315
121.7467,53.0767,315
121.0833,52.8533,315
121.3556,53.0056,315
121.6278,53.1578,315
120.9667,52.9367,315
121.2378,53.0878,315
121.5089,53.2389,315
122.07,45.11,295
122.2275,45.0725,295
122.385,45.035,295
122.5425,44.9975,295
122.3825,45.54,295
122.5231,45.4906,295
122.6638,45.4412,295
122.8044,45.3919,295
122.695,45.97,295
122.8188,45.9088,295
122.9425,45.8475,295
123.0662,45.7862,295
123.0075,46.4,295
123.1144,46.3269,295
123.2212,46.2537,295
123.3281,46.1806,295
127.06,48.38,300
127.15,48.56,300
127.24,48.74,300
126.8825,48.3875,300
126.9833,48.5792,300
127.0842,48.7708,300
126.705,48.395,300
126.8167,48.5983,300
126.9283,48.8017,300
126.5275,48.4025,300
126.65,48.6175,300
126.7725,48.8325,300
129.56,48.51,310
129.71,48.4575,310
129.86,48.405,310
130.01,48.3525,310
129.8125,48.69,310
129.9531,48.6337,310
130.0938,48.5775,310
130.2344,48.5212,310
130.065,48.87,310
130.1963,48.81,310
130.3275,48.75,310
130.4588,48.69,310
130.3175,49.05,310
130.4394,48.9862,310
130.5613,48.9225,310
130.6831,48.8588,310
126.24,47.34,30
125.98,47.45,30
126.12,47.235,30
125.8725,47.34,30
127.57,46.6,345
127.5333,46.7967,345
127.4967,46.9933,345
127.416,46.574,345
127.3787,46.7713,345
127.3413,46.9687,345
127.262,46.548,345
127.224,46.746,345
127.186,46.944,345
127.108,46.522,345
127.0693,46.7207,345
127.0307,46.9193,345
126.954,46.496,345
126.9147,46.6953,345
126.8753,46.8947,345
125.34,46.59,35
125.2467,46.5233,35
125.1533,46.4567,35
125.6067,46.4633,35
125.5078,46.3978,35
125.4089,46.3322,35
125.8733,46.3367,35
125.7689,46.2722,35
125.6644,46.2078,35
125.81,46.03,25
126.02,45.925,25
125.9167,46.09,25
126.13,45.9917,25
126.0233,46.15,25
126.24,46.0583,25
124.39,45.19,50
124.6033,45.02,50
124.8167,44.85,50
124.4875,45.265,50
124.6958,45.1,50
124.9042,44.935,50
124.585,45.34,50
124.7883,45.18,50
124.9917,45.02,50
124.6825,45.415,50
124.8808,45.26,50
125.0792,45.105,50
123.58,43.8,50
123.705,43.875,50
123.13,44.19,50
123.2575,44.2575,50
111.55,43.41,315
111.43,43.4975,315
111.31,43.585,315
111.19,43.6725,315
111.035,43.145,315
110.9319,43.2344,315
110.8288,43.3237,315
110.7256,43.4131,315
110.52,42.88,315
110.4338,42.9712,315
110.3475,43.0625,315
110.2612,43.1538,315
110.005,42.615,315
109.9356,42.7081,315
109.8662,42.8012,315
109.7969,42.8944,315
118.42,49.31,315
118.282,49.38,315
118.144,49.45,315
118.006,49.52,315
117.868,49.59,315
118.154,49.088,315
118.0148,49.1656,315
117.8756,49.2432,315
117.7364,49.3208,315
117.5972,49.3984,315
117.888,48.866,315
117.7476,48.9512,315
117.6072,49.0364,315
117.4668,49.1216,315
117.3264,49.2068,315
117.622,48.644,315
117.4804,48.7368,315
117.3388,48.8296,315
117.1972,48.9224,315
117.0556,49.0152,315
117.356,48.422,315
117.2132,48.5224,315
117.0704,48.6228,315
116.9276,48.7232,315
116.7848,48.8236,315
121.7,42.91,20
121.05,43.6,20
121.27,43.485,20
121.49,43.37,20
121.71,43.255,20
121.1333,43.7,20
121.3683,43.5858,20
121.6033,43.4717,20
121.8383,43.3575,20
121.2167,43.8,20
121.4667,43.6867,20
121.7167,43.5733,20
121.9667,43.46,20
121.75,42.71,45
121.946,42.538,45
122.142,42.366,45
122.338,42.194,45
122.534,42.022,45
121.8667,42.75,45
122.06,42.5833,45
122.2533,42.4167,45
122.4467,42.25,45
122.64,42.0833,45
121.9833,42.79,45
122.174,42.6287,45
122.3647,42.4673,45
122.5553,42.306,45
122.746,42.1447,45
123.92,42.89,310
124.08,42.894,310
124.24,42.898,310
124.4,42.902,310
124.56,42.906,310
124.164,43.108,310
124.3284,43.1,310
124.4928,43.092,310
124.6572,43.084,310
124.8216,43.076,310
124.408,43.326,310
124.5768,43.306,310
124.7456,43.286,310
124.9144,43.266,310
125.0832,43.246,310
124.652,43.544,310
124.8252,43.512,310
124.9984,43.48,310
125.1716,43.448,310
125.3448,43.416,310
124.896,43.762,310
125.0736,43.718,310
125.2512,43.674,310
125.4288,43.63,310
125.6064,43.586,310
125.49,43.88,320
125.6325,43.8325,320
125.775,43.785,320
