key1,key2,DEFINED_FOR_INTENSITY_MEASURE_COMPONENT,DEFINED_FOR_INTENSITY_MEASURE_TYPES,DEFINED_FOR_REFERENCE_VELOCITY,DEFINED_FOR_STANDARD_DEVIATION_TYPES,DEFINED_FOR_TECTONIC_REGION_TYPE,REQUIRES_ATTRIBUTES,REQUIRES_DISTANCES,REQUIRES_RUPTURE_PARAMETERS,REQUIRES_SITES_PARAMETERS,__doc__,__init__,DEFINED_FOR_REFERENCE_VELOCITy,REQUIRES_IMTS
openquake.hazardlib.gsim.allen_2012,Allen2012,Median horizontal,"['SA', 'PGA']",820.0,['Total'],Stable Shallow Crust,[],['rrup'],"['hypo_depth', 'mag']",[],"
    Implements GMPE developed by T. Allen and published as ""Stochastic ground-
    motion prediction equations for southeastern Australian earthquakes using
    updated source and attenuation parameters"", 2012, Geoscience Australia
    Record 2012/69. Document available at:
    https://www.ga.gov.au/products/servlet/controller?event=GEOCAT_DETAILS&catno=74133
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.allen_2012,Allen2012_SS14,Median horizontal,"['SA', 'PGA']",820.0,['Total'],Stable Shallow Crust,[],['rrup'],"['hypo_depth', 'mag']",['vs30'],"
    Allen2012 Model updated to apply the linear and non-linear amplification factors of Sayhan & 
    Stewart (2014) as applied in the Boore et al (2014) NGE-West 2 GMM
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.atkinson_boore_1995,AtkinsonBoore1995GSCBest,Random horizontal,"['SA', 'PGA']",,['Total'],Stable Shallow Crust,[],['rhypo'],['mag'],[],"
    Implement equation used by the Geological Survey of Canada (GSC) for
    the 2010 Eastern Canada National Seismic Hazard Model. The equation fits
    the table values defined by Gail M. Atkinson and David M. Boore in
    ""Ground-Motion Relations for Eastern North America"", Bullettin of the
    Seismological Society of America, Vol. 85, No. 1, pp. 17-30, February 1995.
    Table of coefficients were provided by GSC and are associated to the 'Best'
    case (that is mean value unaffected).

    The class assumes magnitude to be in Mblg scale. The Atkinson 1993
    conversion equation is used to obtain Mw values.
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.atkinson_boore_1995,AtkinsonBoore1995GSCLowerLimit,Random horizontal,"['SA', 'PGA']",,['Total'],Stable Shallow Crust,[],['rhypo'],['mag'],[],"
    Implement equation used by the Geological Survey of Canada (GSC) for
    the 2010 Eastern Canada National Seismic Hazard Model. The equation fits
    the table values defined by Gail M. Atkinson and David M. Boore in
    ""Ground-Motion Relations for Eastern North America"", Bullettin of the
    Seismological Society of America, Vol. 85, No. 1, pp. 17-30, February 1995.
    Table of coefficients were provided by GSC and are associated to the 'Lower
    Limit' case (that is mean value decreased).
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.atkinson_boore_1995,AtkinsonBoore1995GSCUpperLimit,Random horizontal,"['SA', 'PGA']",,['Total'],Stable Shallow Crust,[],['rhypo'],['mag'],[],"
    Implement equation used by the Geological Survey of Canada (GSC) for
    the 2010 Eastern Canada National Seismic Hazard Model. The equation fits
    the table values defined by Gail M. Atkinson and David M. Boore in
    ""Ground-Motion Relations for Eastern North America"", Bullettin of the
    Seismological Society of America, Vol. 85, No. 1, pp. 17-30, February 1995.
    Table of coefficients were provided by GSC and are associated to the 'Upper
    Limit' case (that is mean value increased).
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.atkinson_boore_2006,AtkinsonBoore2006,Average Horizontal,"['PGV', 'PGA', 'SA']",,['Total'],Stable Shallow Crust,"['mag_eq', 'scale_fac']",['rrup'],['mag'],['vs30'],"
    Implements GMPE developed by Gail M. Atkinson and David M. Boore and
    published as ""Earthquake Ground-Motion Prediction Equations for Eastern
    North America"" (2006, Bulletin of the Seismological Society of America,
    Volume 96, No. 6, pages 2181-2205). This class implements only the
    equations for stress parameter of 140 bars. The correction described in
    'Adjustment of Equations to Consider Alternative Stress Parameters',
    p. 2198, is not implemented.
    This class uses the same soil amplification function as the
    BooreAtkinson2008. Note that in the paper, the reported soil
    amplification function is the one used in a preliminary version of the
    Boore and Atkinson 2008 GMPE, while the one that should be used is the
    one described in the final paper. See comment in:
    http://www.daveboore.com/pubs_online/ab06_gmpes_programs_and_tables.pdf
    ","{'self': None, 'mag_eq': 'NA', 'scale_fac': 0}",,
openquake.hazardlib.gsim.atkinson_boore_2006,AtkinsonBoore2006Modified2011,Average Horizontal,"['PGV', 'PGA', 'SA']",,['Total'],Stable Shallow Crust,"['mag_eq', 'scale_fac']",['rrup'],['mag'],['vs30'],"
    This GMPE modifies the original implementation of :class:
    `AtkinsonBoore2006` with the magnitude dependent stress-drop scaling
    factor proposed in Atkinson & Boore (2011)
    Atkinson, G. A. and Boore D. M. (2011) Modifications to Existing
    Ground-Motion Prediciton Equations in Light of New Data. Bulletin of the
    Seismological Society of America, 101(3), 1121 - 1135
    ","{'self': None, 'mag_eq': 'NA', 'scale_fac': 0}",,
openquake.hazardlib.gsim.atkinson_boore_2006,AtkinsonBoore2006SGS,Average Horizontal,"['PGV', 'PGA', 'SA']",,['Total'],Stable Shallow Crust,"['mag_eq', 'scale_fac']",['rrup'],['mag'],['vs30'],"
    This class extends the original base class
    :class:`openquake.hazardlib.gsim.atkinson_boore_2006.AtkinsonBoore2006`
    by introducing a distance filter for the near field, as implemented
    by SGS for the national PSHA model for Saudi Arabia.
    ","{'self': None, 'mag_eq': 'NA', 'scale_fac': 0}",,
openquake.hazardlib.gsim.bindi_2017,BindiEtAl2017Rhypo,Average Horizontal,"['SA', 'PGA']",,"['Inter event', 'Total', 'Intra event']",Stable Shallow Crust,[],['rhypo'],['mag'],['vs30'],"
    Version of the Bindi et al. (2017) GMPE using hypocentral distance.
    ","{'self': None, 'adjustment_factor': 1.0}",,
openquake.hazardlib.gsim.bindi_2017,BindiEtAl2017Rjb,Average Horizontal,"['SA', 'PGA']",,"['Inter event', 'Total', 'Intra event']",Stable Shallow Crust,[],['rjb'],['mag'],['vs30'],"
    Implements the European GMPE of Bindi et al. (2017) for use in
    moderate-seismicity regions:

    D.Bindi, F. Cotton, S. R. Kotha, C. Bosse, D. Stromeyer and G. Gruenthal
    (2017) ""Application-driven ground motion prediction equation for
    seismic hazard assessments in non-cratonic moderate-seismicity areas"",
    J. Seismology, 21(5), 1201 - 1218

    Two different GMPEs are supported here
    ","{'self': None, 'adjustment_factor': 1.0}",,
