key1,key2,DEFINED_FOR_INTENSITY_MEASURE_COMPONENT,DEFINED_FOR_INTENSITY_MEASURE_TYPES,DEFINED_FOR_REFERENCE_VELOCITY,DEFINED_FOR_STANDARD_DEVIATION_TYPES,DEFINED_FOR_TECTONIC_REGION_TYPE,REQUIRES_ATTRIBUTES,REQUIRES_DISTANCES,REQUIRES_RUPTURE_PARAMETERS,REQUIRES_SITES_PARAMETERS,__doc__,__init__,DEFINED_FOR_REFERENCE_VELOCITy,REQUIRES_IMTS
openquake.hazardlib.gsim.abrahamson_2015,AbrahamsonEtAl2015SSlab,Average Horizontal,"['SA', 'PGA']",1000.0,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rhypo'],"['hypo_depth', 'mag']","['vs30', 'backarc']","
    Implements the Subduction GMPE developed by Norman Abrahamson, Nicholas
    Gregor and Kofi Addo, otherwise known as the ""BC Hydro"" Model, published
    as ""BC Hydro Ground Motion Prediction Equations For Subduction Earthquakes
    (2013, Earthquake Spectra, in press).
    This implements only the inslab GMPE. For inslab events the source is
    considered to be a point source located at the hypocentre. Therefore
    the hypocentral distance metric is used in place of the rupture distance,
    and the hypocentral depth is used to scale the ground motion by depth
    ","{'self': None, 'ergodic': True, 'theta6_adjustment': 0, 'sigma_mu_epsilon': 0.0, 'faba_taper_model': 'Step', 'faba_args': None}",,
openquake.hazardlib.gsim.abrahamson_2015,AbrahamsonEtAl2015SSlabHigh,Average Horizontal,"['SA', 'PGA']",1000.0,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rhypo'],"['hypo_depth', 'mag']","['vs30', 'backarc']","
    Defines the Abrahamson et al. (2013) scaling relation  assuming the upper
    values of the magnitude scaling for large slab earthquakes, as defined in
    table 8
    ","{'self': None, 'ergodic': True, 'theta6_adjustment': 0, 'sigma_mu_epsilon': 0.0, 'faba_taper_model': 'Step', 'faba_args': None}",,
openquake.hazardlib.gsim.abrahamson_2015,AbrahamsonEtAl2015SSlabLow,Average Horizontal,"['SA', 'PGA']",1000.0,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rhypo'],"['hypo_depth', 'mag']","['vs30', 'backarc']","
    Defines the Abrahamson et al. (2013) scaling relation  assuming the lower
    values of the magnitude scaling for large slab earthquakes, as defined in
    table 8
    ","{'self': None, 'ergodic': True, 'theta6_adjustment': 0, 'sigma_mu_epsilon': 0.0, 'faba_taper_model': 'Step', 'faba_args': None}",,
openquake.hazardlib.gsim.abrahamson_2015,AbrahamsonEtAl2015SSlab_scaled,Average Horizontal,"['SA', 'PGA']",1000.0,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rhypo'],"['hypo_depth', 'mag']","['vs30', 'backarc']","
    Implements the Subduction GMPE developed by Norman Abrahamson, Nicholas
    Gregor and Kofi Addo, otherwise known as the ""BC Hydro"" Model, published
    as ""BC Hydro Ground Motion Prediction Equations For Subduction Earthquakes
    (2013, Earthquake Spectra, in press).
    This implements only the inslab GMPE. For inslab events the source is
    considered to be a point source located at the hypocentre. Therefore
    the hypocentral distance metric is used in place of the rupture distance,
    and the hypocentral depth is used to scale the ground motion by depth

    Application of a scaling factor that converts the prediction of
    AbrahamsonEtAl2015SSlab to the corresponding
    prediction for the Maximum value.
    ","{'self': None, 'ergodic': True, 'theta6_adjustment': 0, 'sigma_mu_epsilon': 0.0, 'faba_taper_model': 'Step', 'faba_args': None}",,
openquake.hazardlib.gsim.abrahamson_2018,AbrahamsonEtAl2018SSlab,Average Horizontal,"['SA', 'PGA']",,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rrup'],"['ztor', 'mag']",['vs30'],"
    Abrahamson et al. (2018) updated ""BC Hydro"" subduction GMPE for application
    to subduction in-slab earthquakes.
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.abrahamson_2018,AbrahamsonEtAl2018SSlabHigh,Average Horizontal,"['SA', 'PGA']",,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rrup'],"['ztor', 'mag']",['vs30'],"
    Abrahamson et al (2018) subduction in-slab GMPE with the positive
    epistemic adjustment factor applied
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.abrahamson_2018,AbrahamsonEtAl2018SSlabLow,Average Horizontal,"['SA', 'PGA']",,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rrup'],"['ztor', 'mag']",['vs30'],"
    Abrahamson et al (2018) subduction in-slab GMPE with the negative
    epistemic adjustment factor applied
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.abrahamson_gulerce_2020,AbrahamsonGulerce2020SSlab,Average Horizontal (RotD50),"['SA', 'PGA']",1000.0,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,"['region', 'sigma_mu_epsilon', 'ergodic', 'usgs_basin_scaling', 'apply_usa_adjustment']",['rrup'],"['ztor', 'mag']",['vs30'],"
    Implements the 2020 Subduction ground motion model of Abrahamson &
    Gulerce (2020) for subduction in-slab earthquakes

    Abrahamson N. and Gulurce Z. (2020) ""Regionalized Ground-Motion Models
    for Subduction Earthquakes based on the NGA-SUB Database"", Pacific
    Earthquake Engineering Research Center (PEER) Technical Report,
    PEER 2020/25
    ","{'self': None, 'region': 'GLO', 'ergodic': True, 'apply_usa_adjustment': False, 'usgs_basin_scaling': False, 'sigma_mu_epsilon': 0.0}",,
openquake.hazardlib.gsim.allen_2022,Allen2022,Median horizontal,"['PGV', 'PGA', 'SA']",,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rhypo'],"['hypo_depth', 'mag']",['vs30'],"
    Implements GMPE developed by Allen and published as
    ""Allen, T. I. (2022). A farfield groundmotion model for the North Australian 
    Craton from platemargin earthquakes, Bull. Seismol. Soc. Am., doi: 10.1785/0120210191.
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.arteta_2021,ArtetaEtAl2021Slab,Average Horizontal (RotD50),"['SA', 'PGA']",,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rhypo'],['mag'],"['PHV', 'THV', 'backarc']","
    Implements the model of Arteta et al (2021) as described in ""Ground-motion
    model for subduction earthquakes in northern South America"" by Arteta et
    al. (2021) - Earthquake Spectra, https://doi.org/10.1177/87552930211027585

    Soil term depends of natural perod and pick value of HVRSR spectra
    ","{'self': None, 'kwargs': None}",,
